Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,4009.0552
FDW14,OUT017,204.54828
NCN55,OUT010,841.0546
FDQ58,OUT017,964.6967
FDY38,OUT027,2116.691
FDH56,OUT046,2064.0745
FDL48,OUT018,2385.6877
FDC48,OUT027,2805.854
FDN33,OUT045,3141.1267
FDA36,OUT017,3119.5906
FDT44,OUT017,2176.3308
FDQ56,OUT045,870.7838
NCC54,OUT019,906.03314
FDU11,OUT049,814.58923
DRL59,OUT013,963.13245
FDM24,OUT049,834.02594
FDI57,OUT045,813.0977
DRC12,OUT018,2149.9468
NCM42,OUT027,974.2756
FDA46,OUT010,852.31903
FDA31,OUT013,1551.4971
NCJ31,OUT035,252.51807
FDG52,OUT046,345.53012
NCL19,OUT019,2862.6187
FDS10,OUT035,1516.7502
FDX22,OUT010,2952.6125
NCF19,OUT035,3077.266
NCE06,OUT046,2939.419
DRC27,OUT046,568.32153
FDE21,OUT035,3104.4392
NCR42,OUT019,646.9519
FDX51,OUT018,749.65186
NCR06,OUT018,2305.9482
FDU31,OUT027,2191.2283
FDU59,OUT017,2273.2869
FDR03,OUT027,2486.522
FDS49,OUT027,2320.823
FDD48,OUT010,3730.9082
NCF18,OUT017,3222.8396
NCD43,OUT027,1744.4551
NCD54,OUT018,1777.1233
FDY19,OUT010,2078.3955
NCY54,OUT017,3162.9392
NCL19,OUT018,3080.0027
FDP23,OUT010,3336.9226
FDC26,OUT013,4708.2417
FDR14,OUT010,760.06866
NCS41,OUT035,933.59656
FDF41,OUT035,1991.4159
FDU34,OUT046,1939.5746
DRH11,OUT046,1806.6151
FDM03,OUT013,1727.6968
FDS31,OUT017,1676.0623
FDJ20,OUT017,5273.171
FDV44,OUT027,3781.5754
FDG02,OUT049,4230.5674
FDA09,OUT013,3957.9846
FDT04,OUT013,4136.992
FDL58,OUT019,5565.663
FDE52,OUT045,2432.4375
FDW12,OUT035,334.31543
FDL51,OUT017,2538.9275
NCY42,OUT027,3096.5586
FDR07,OUT017,3177.6492
FDN40,OUT045,3095.2292
FDB35,OUT027,229.55795
FDA22,OUT017,1768.2992
NCL06,OUT046,1722.2587
FDI35,OUT013,1683.6599
NCW42,OUT045,1594.9088
NCX06,OUT049,1681.2037
FDC37,OUT027,319.2868
FDZ14,OUT018,4118.7085
DRG49,OUT049,2680.925
NCG06,OUT045,2605.5845
DRC36,OUT045,632.0409
FDV21,OUT019,646.35516
FDB53,OUT046,306.67206
DRP47,OUT019,1975.4335
FDA14,OUT013,817.3346
DRC24,OUT035,740.6776
FDW21,OUT018,1991.5728
NCH29,OUT046,589.83813
FDU58,OUT013,207.55875
FDY27,OUT017,619.03485
FDV56,OUT035,597.2138
FDT59,OUT046,531.0751
FDB23,OUT046,932.1622
FDR49,OUT045,795.9935
FDB03,OUT010,558.3662
FDN39,OUT045,562.5024
FDX02,OUT027,945.68945
FDQ16,OUT027,1649.4385
FDU35,OUT018,1359.2855
NCT29,OUT013,1336.5764
FDZ27,OUT046,1305.3925
FDN57,OUT017,4023.3994
FDA03,OUT018,4002.3708
FDZ36,OUT045,4188.098
NCU05,OUT013,1517.9904
FDT39,OUT018,1566.7109
FDK60,OUT017,2895.2126
FDZ25,OUT017,2672.5632
FDG12,OUT046,2826.0164
DRB01,OUT019,2758.1304
NCC43,OUT027,3802.944
FDX13,OUT019,2434.479
FDM22,OUT049,1907.3391
FDJ03,OUT027,2179.027
FDU14,OUT018,1997.978
FDB33,OUT010,2051.8044
FDP27,OUT046,634.90063
FDO38,OUT010,584.5863
FDE28,OUT027,459.85898
FDO27,OUT035,297.64874
DRL23,OUT027,751.6538
FDS28,OUT046,1372.5801
FDX24,OUT013,1535.1888
FDZ02,OUT035,2046.6323
FDL46,OUT045,3513.6245
FDS60,OUT027,2075.0662
NCO06,OUT017,538.40564
FDO16,OUT035,3132.8499
FDC60,OUT049,3201.7327
FDA48,OUT018,4138.805
FDZ36,OUT027,4043.313
FDK27,OUT045,4269.9375
FDW23,OUT018,2093.195
FDM14,OUT018,2044.9191
FDM14,OUT013,3455.11
FDW60,OUT018,3009.131
FDE21,OUT013,3021.5195
NCM42,OUT035,2786.5054
FDY59,OUT010,2630.2476
DRI49,OUT049,361.42905
FDT28,OUT019,2450.4956
FDQ22,OUT018,4067.9902
FDR60,OUT049,502.7154
FDC50,OUT019,4133.9907
FDV24,OUT013,895.0387
DRF48,OUT010,209.80867
FDQ47,OUT046,784.4265
DRN36,OUT049,924.3308
NCY06,OUT035,1042.9564
FDE52,OUT035,3193.578
NCB54,OUT045,3318.5386
NCF31,OUT035,3049.628
FDJ08,OUT027,3209.4817
NCC07,OUT017,272.10983
NCD19,OUT027,3800.3064
FDL46,OUT049,2113.1624
FDM20,OUT045,349.63702
NCI06,OUT010,2376.4812
DRM11,OUT035,2532.7883
NCH07,OUT018,2311.7292
FDS23,OUT013,280.07892
FDO49,OUT018,2412.3787
FDS35,OUT049,3785.992
DRK39,OUT045,2467.2385
DRI39,OUT049,2314.2844
FDV04,OUT017,1795.8785
NCN14,OUT035,1899.3882
FDH08,OUT013,3324.643
FDS20,OUT046,1890.0958
FDV40,OUT049,1965.4777
FDZ48,OUT010,323.70972
FDS24,OUT027,233.98615
FDK44,OUT049,3180.403
FDS48,OUT045,3137.6777
FDK26,OUT010,3238.3586
FDD23,OUT045,3398.0222
NCH54,OUT017,394.7632
NCP14,OUT010,2355.2622
FDM60,OUT010,355.9665
FDV24,OUT017,3870.3281
FDH08,OUT018,5755.77
FDS12,OUT027,1579.6844
FDR39,OUT027,1747.3673
FDP12,OUT027,671.69055
DRF60,OUT027,447.83292
FDC09,OUT035,3066.592
FDF50,OUT018,3297.6226
FDG28,OUT035,3177.3066
NCE19,OUT017,3030.9363
NCM53,OUT010,2780.171
NCN18,OUT049,2715.663
FDF32,OUT035,4088.6292
FDF11,OUT013,4226.221
DRI59,OUT049,4065.9133
NCG54,OUT035,1012.824
FDM44,OUT046,395.63297
FDT57,OUT018,2809.5198
FDV24,OUT046,225.65642
FDI50,OUT019,1428.8137
FDS09,OUT035,1387.8425
NCC31,OUT027,1490.3895
